Rk,Year,Pk,Tm,Player,College,Yrs,Total_G,Total_MP,Total_PTS,Total_TRB,Total_AST,FG%,3P%,FT%,Per_Game_MP,Per_Game_PTS,Per_Game_TRB,Per_Game_AST,WS,WS/48,BPM,VORP
14,2019,14,BOS,Romeo Langford,Indiana,1,32,370,79,41,13,0.35,0.185,0.72,11.6,2.5,1.3,0.4,0.2,0.025,-4.9,-0.3
15,2019,15,DET,Sekou Doumbouya,,2,75,1238,387,200,42,0.372,0.271,0.703,16.5,5.2,2.7,0.6,-0.6,-0.025,-7.3,-1.6
16,2019,16,ORL,Chuma Okeke,Auburn,1,27,587,119,95,51,0.364,0.344,0.643,21.7,4.4,3.5,1.9,0.6,0.046,-2.8,-0.1
17,2019,17,BRK,Nickeil Alexander-Walker,Virginia Tech,2,82,1248,588,181,155,0.395,0.335,0.744,15.2,7.2,2.2,1.9,0.3,0.01,-3,-0.3
18,2019,18,IND,Goga Bitadze,,2,77,690,259,157,29,0.464,0.179,0.719,9,3.4,2,0.4,1.1,0.077,-2.4,-0.1
19,2019,19,SAS,Luka Šamanić,,2,16,173,65,42,9,0.393,0.344,0.588,10.8,4.1,2.6,0.6,0.1,0.027,-4.8,-0.1
20,2019,20,BOS,Matisse Thybulle,Washington,2,106,2055,456,177,120,0.419,0.342,0.6,19.4,4.3,1.7,1.1,4.1,0.097,0.9,1.5
21,2019,21,OKC,Brandon Clarke,Gonzaga,2,93,2214,1113,539,135,0.578,0.339,0.733,23.8,12,5.8,1.5,7.7,0.166,2.2,2.3
22,2019,22,BOS,Grant Williams,Tennessee,2,104,1681,412,281,101,0.427,0.323,0.652,16.2,4,2.7,1,2.3,0.066,-3.1,-0.5
23,2019,23,UTA,Darius Bazley,,2,97,2234,769,516,95,0.393,0.315,0.699,23,7.9,5.3,1,0.8,0.017,-2.8,-0.4
24,2019,24,PHI,Ty Jerome,Virginia,2,42,621,211,84,84,0.389,0.368,0.667,14.8,5,2,2,0.7,0.057,-1.8,0
25,2019,25,POR,Nassir Little,UNC,2,75,939,315,177,34,0.444,0.31,0.734,12.5,4.2,2.4,0.5,1.4,0.07,-3,-0.2
26,2019,26,CLE,Dylan Windler,Belmont,1,29,495,157,104,33,0.44,0.351,0.808,17.1,5.4,3.6,1.1,0.7,0.068,-0.9,0.1
27,2019,27,BRK,Mfiondu Kabengele,Florida State,2,35,158,69,25,7,0.359,0.342,0.909,4.5,2,0.7,0.2,0.1,0.021,-5.6,-0.1
28,2019,28,GSW,Jordan Poole,Michigan,2,80,1641,751,155,167,0.372,0.307,0.833,20.5,9.4,1.9,2.1,-0.1,-0.003,-4.4,-1
29,2019,29,SAS,Keldon Johnson,Kentucky,2,54,1382,668,299,89,0.497,0.376,0.774,25.6,12.4,5.5,1.6,3.4,0.119,-0.5,0.5
30,2019,30,MIL,Kevin Porter Jr.,USC,2,57,1366,602,181,154,0.437,0.308,0.711,24,10.6,3.2,2.7,0.2,0.009,-3.5,-0.5
31,2019,31,BRK,Nicolas Claxton,Georgia,2,27,407,184,96,27,0.624,0.111,0.563,15.1,6.8,3.6,1,1.4,0.161,1.9,0.4
32,2019,32,PHO,KZ Okpala,Stanford,2,30,348,74,55,12,0.423,0.289,0.375,11.6,2.5,1.8,0.4,0.2,0.033,-5.9,-0.3
33,2019,33,PHI,Carsen Edwards,Purdue,2,53,514,203,65,33,0.376,0.313,0.714,9.7,3.8,1.2,0.6,0.5,0.043,-4.1,-0.3
34,2019,34,PHI,Bruno Fernando,Maryland,2,77,876,271,261,58,0.504,0.128,0.576,11.4,3.5,3.4,0.8,0.8,0.043,-4.5,-0.5
35,2019,35,CHO,Cody Martin,Nevada,2,78,1283,353,231,131,0.459,0.245,0.663,16.4,4.5,3,1.7,1.8,0.068,-1.7,0.1
36,2019,36,DAL,Deividas Sirvydis,,1,7,12,1,2,1,0,0,0.5,1.7,0.1,0.3,0.1,-0.1,-0.226,-16.7,0
37,2019,37,CHI,Daniel Gafford,Arkansas,2,73,988,365,206,38,0.695,0,0.584,13.5,5,2.8,0.5,3.3,0.159,-0.7,0.3
38,2019,38,NOP,Alen Smailagić,,2,17,152,64,27,13,0.468,0.235,0.762,8.9,3.8,1.6,0.8,0.2,0.052,-3.7,-0.1
39,2019,39,SAC,Justin James,Wyoming,2,56,357,130,42,28,0.429,0.317,0.455,6.4,2.3,0.8,0.5,0.1,0.015,-2.7,-0.1
40,2019,40,GSW,Eric Paschall,Villanova,2,97,2299,1189,392,176,0.496,0.292,0.758,23.7,12.3,4,1.8,2.9,0.061,-2.9,-0.5
41,2019,41,PHI,Admiral Schofield,Tennessee,1,33,368,99,47,15,0.38,0.311,0.667,11.2,3,1.4,0.5,0.1,0.017,-5.5,-0.3
42,2019,42,MIN,Jaylen Nowell,Washington,2,44,698,361,77,59,0.446,0.338,0.86,15.9,8.2,1.8,1.3,1.1,0.074,-2,0
43,2019,43,MIA,Bol Bol,Oregon,2,25,180,76,32,11,0.491,0.478,0.75,7.2,3,1.3,0.4,0.2,0.041,-2.8,0
44,2019,44,DET,Isaiah Roby,Nebraska,2,40,851,333,205,63,0.529,0.344,0.747,21.3,8.3,5.1,1.6,1.8,0.1,-1.7,0.1
45,2019,45,ORL,Talen Horton-Tucker,Iowa State,2,46,816,355,113,99,0.45,0.261,0.825,17.7,7.7,2.5,2.2,1.3,0.079,-1.3,0.1
46,2019,46,SAC,Ignas Brazdeikis,Michigan,2,13,60,19,7,5,0.261,0.111,0.857,4.6,1.5,0.5,0.4,-0.1,-0.092,-8.5,-0.1
47,2019,47,LAC,Terance Mann,Florida State,2,82,1033,318,196,103,0.486,0.365,0.756,12.6,3.9,2.4,1.3,2.4,0.114,-1.5,0.1
48,2019,48,SAS,Quinndary Weatherspoon,Mississippi State,2,19,117,18,10,15,0.292,0.167,0.75,6.2,0.9,0.5,0.8,-0.2,-0.099,-8.8,-0.2
49,2019,49,IND,Jarrell Brantley,College of Charleston,2,21,126,35,27,12,0.368,0.3,0.5,6,1.7,1.3,0.6,0.1,0.028,-3.1,0
50,2019,50,BOS,Tremont Waters,LSU,2,22,217,73,20,46,0.3,0.256,0.938,9.9,3.3,0.9,2.1,-0.2,-0.048,-4.7,-0.1
51,2019,51,CHO,Jalen McDaniels,San Diego State,2,36,523,178,112,22,0.458,0.333,0.763,14.5,4.9,3.1,0.6,0.4,0.041,-4.9,-0.4
52,2019,52,UTA,Justin Wright-Foreman,Hofstra,1,4,45,19,5,7,0.35,0.2,0.75,11.3,4.8,1.3,1.8,0,-0.008,-9,-0.1
53,2019,53,PHI,Marial Shayok,Iowa State,1,4,28,11,7,1,0.25,0.333,0.75,7,2.8,1.8,0.3,-0.1,-0.13,-13,-0.1
