Rk,Year,Pk,Tm,Player,College,Yrs,Total_G,Total_MP,Total_PTS,Total_TRB,Total_AST,FG%,3P%,FT%,Per_Game_MP,Per_Game_PTS,Per_Game_TRB,Per_Game_AST,WS,WS/48,BPM,VORP
1,2019,1,NOP,Zion Williamson,Duke,2,65,2007,1595,438,191,0.607,0.382,0.685,30.9,24.5,6.7,2.9,7.9,0.188,3.9,3
2,2019,2,MEM,Ja Morant,Murray State,2,99,3083,1812,366,727,0.464,0.294,0.772,31.1,18.3,3.7,7.3,5.4,0.085,0,1.5
3,2019,3,NYK,RJ Barrett,Duke,2,100,3192,1566,546,275,0.426,0.33,0.663,31.9,15.7,5.5,2.8,1.8,0.027,-3.1,-0.9
4,2019,4,LAL,De'Andre Hunter,Virginia,2,82,2617,1096,384,153,0.435,0.357,0.799,31.9,13.4,4.7,1.9,2,0.037,-3.1,-0.7
5,2019,5,CLE,Darius Garland,Vanderbilt,2,93,2947,1287,185,425,0.418,0.369,0.853,31.7,13.8,2,4.6,-0.7,-0.012,-4.4,-1.8
6,2019,6,PHO,Jarrett Culver,Texas Tech,2,84,1900,722,303,127,0.407,0.287,0.494,22.6,8.6,3.6,1.5,-0.2,-0.005,-4.6,-1.3
7,2019,7,CHI,Coby White,UNC,2,107,3010,1497,423,372,0.401,0.353,0.83,28.1,14,4,3.5,2.1,0.033,-3.1,-0.9
8,2019,8,ATL,Jaxson Hayes,Texas,2,96,1510,649,370,72,0.685,0.25,0.669,15.7,6.8,3.9,0.8,5.4,0.171,-0.2,0.7
9,2019,9,WAS,Rui Hachimura,Gonzaga,2,83,2530,1117,498,141,0.469,0.315,0.806,30.5,13.5,6,1.7,3.1,0.06,-3.1,-0.7
10,2019,10,ATL,Cam Reddish,Duke,2,84,2301,902,320,122,0.378,0.309,0.808,27.4,10.7,3.8,1.5,0.1,0.002,-4,-1.2
11,2019,11,MIN,Cameron Johnson,UNC,2,93,2112,875,306,118,0.438,0.388,0.83,22.7,9.4,3.3,1.3,4.6,0.106,0.5,1.3
12,2019,12,CHO,P.J. Washington,Kentucky,2,96,2887,1179,560,231,0.453,0.384,0.71,30.1,12.3,5.8,2.4,3.7,0.061,-1.3,0.5
13,2019,13,MIA,Tyler Herro,Kentucky,2,88,2556,1241,403,234,0.422,0.36,0.847,29,14.1,4.6,2.7,2,0.038,-2.2,-0.1
